ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
DBC,Commodity,10,0.95,0.1523868593777934,0.518681965283907,0.01087872768419434
DIA,US Equity,10,0.95,-0.13894354730844552,0.5170421721548238,0.010581914245737664
EEM,Intl Equity,10,0.95,0.04535504613848393,0.5088585535869881,0.013555388912369277
EFA,Intl Equity,10,0.95,-0.3440238781129838,0.5036242389098289,0.011493442046602794
EWJ,Intl Equity,10,0.95,-0.21066812758478165,0.49544787077826724,0.011229812161787997
FXI,Intl Equity,10,0.95,-0.2625132025520772,0.4991289198606272,0.017528327631359815
GLD,Commodity,10,0.95,-0.05332196680622989,0.5046242774566474,0.009851477625091603
HYG,Fixed Income,10,0.95,-0.15799729190262754,0.5093512565751023,0.005397731575530851
IEF,Fixed Income,10,0.95,0.3817882835574782,0.515661252900232,0.004208225004725488
IWM,US Equity,10,0.95,-0.13586000228349868,0.503462204270052,0.014109584028741497
LQD,Fixed Income,10,0.95,0.40330434209421184,0.5244328097731239,0.004988041095782
QQQ,US Equity,10,0.95,0.034034342228802854,0.5232726221451286,0.013132923910012612
SLV,Commodity,10,0.95,-0.05077478824007915,0.4944216089254257,0.01834121991075217
SPY,US Equity,10,0.95,-0.0586725415128433,0.5203698353077145,0.010863597590559389
TIP,Fixed Income,10,0.95,0.18210543021308612,0.5072971395213076,0.0036954558542187355
TLT,Fixed Income,10,0.95,0.1694666943927199,0.4985540775014459,0.009715459087264228
USO,Commodity,10,0.95,0.13859342999780655,0.5111756168359942,0.02290615988603723
VNQ,Real Estate,10,0.95,0.008399683177886419,0.5199652777777778,0.012902981782410713
XLE,US Equity,10,0.95,-0.32666011832278735,0.5001446340757882,0.017743616722091977
XLF,US Equity,10,0.95,-0.13945959791836327,0.5001460706982179,0.013978229011709054
XLK,US Equity,10,0.95,-0.1208554659698809,0.5236712169619517,0.013753471918177766
XLP,US Equity,10,0.95,0.2065537255695959,0.50920245398773,0.008845796937961867
XLU,US Equity,10,0.95,-0.38201886278550506,0.5071200232490555,0.011379611547893602
XLV,US Equity,10,0.95,-0.08942768558441144,0.5047923322683706,0.010357622077594315
DBC,Commodity,10,0.98,0.12986092359756432,0.5207413945278023,0.010816073125800059
DIA,US Equity,10,0.98,0.0070478710888423205,0.5205083766608897,0.010512209156912948
EEM,Intl Equity,10,0.98,0.003897059019447576,0.5152483299448156,0.013457396149735347
EFA,Intl Equity,10,0.98,-0.21772057780873091,0.5111626558422732,0.011418237213858087
EWJ,Intl Equity,10,0.98,-0.15810822234274202,0.5013215859030837,0.011147792805463986
FXI,Intl Equity,10,0.98,-0.21591787638239035,0.5011614401858304,0.0173934470466966
GLD,Commodity,10,0.98,0.21732752992385335,0.5179190751445086,0.009786141929196635
HYG,Fixed Income,10,0.98,0.07030084768276151,0.5263004091174751,0.005360255713835359
IEF,Fixed Income,10,0.98,0.38573383134994466,0.5101508120649652,0.004178238983106689
IWM,US Equity,10,0.98,-0.09946689231819868,0.516733987305251,0.014003837193866797
